hogar,rol,horizonte_min,estrategia,rmse,mae,mape,r2,n
11,train,15,rf_global,323.8799377151593,214.95837349581944,60.21187113941841,0.753438456245748,5749
12,train,15,rf_global,401.17422224353857,202.02639150605552,55.28063425962034,0.146929828385865,7892
15,train,15,rf_global,218.31795736803798,89.2320894520058,36.222959731745384,0.05023569430821262,8087
16,train,15,rf_global,337.8954193740001,174.90496184184929,42.79088630560177,0.23433799277880452,7298
17,train,15,rf_global,609.6415308357244,253.05128899641792,63.647928933813404,0.42423728256186466,7838
18,train,15,rf_global,328.6499657054144,167.52688538698044,38.61372219425723,0.28358057277859006,7328
19,train,15,rf_global,235.70334396513127,123.48154058904721,40.569746265851784,0.16444472592296244,7835
20,train,15,rf_global,269.5893330644531,145.80466915942057,41.586537299935685,0.25378693189911006,7605
21,train,15,rf_global,355.50896109835696,232.0680999312327,37.11202637903973,0.7220619571966563,7581
2,validacion_externa,15,rf_global,747.8974451987657,391.89937692545874,128.39123815567459,0.2509366048736804,7850
13,validacion_externa,15,rf_global,575.6030810206013,309.56285991369185,43.61408286748615,0.5159805265084568,6147
1,train,60,rf_global,584.4938895292361,277.4816229978037,68.66798750242296,0.16527658481662877,9370
3,train,60,rf_global,647.7432988312815,372.5191461955156,63.730184105712226,0.16964330973090858,8642
4,train,60,rf_global,282.7361177717144,175.29582829486517,68.61449950184992,-0.00320116099876655,9125
5,train,60,rf_global,462.0539864822256,283.40442355216044,39.393409058218104,0.2905368853196436,9421
6,train,60,rf_global,259.6513110264952,161.78973970655213,36.258196579004185,0.17305798158168328,8222
7,train,60,rf_global,612.7208436334473,355.6308173337215,93.54729984938923,0.22020620519980638,9264
8,train,60,rf_global,754.2518528384261,450.90804682532297,84.97038950384623,0.3251866832985387,8863
9,train,60,rf_global,672.6241486434975,348.4898369846541,81.76878507519443,0.21098953698588474,8237
10,train,60,rf_global,658.3438061796709,367.2250057254752,64.23419703472992,0.11085085401382522,8882
11,train,60,rf_global,404.373037237175,273.9666630252905,81.88264551796786,0.6146389704571223,5742
12,train,60,rf_global,406.72785392779105,216.33540932222544,64.95939792488271,0.1343872895264887,7883
15,train,60,rf_global,234.22306094871706,108.97876741835617,47.30186479485803,-0.09217956683801654,8078
16,train,60,rf_global,350.1514254245259,191.98477828259075,49.57693390936536,0.18080856647663235,7290
17,train,60,rf_global,635.6052806414872,284.595642051368,71.16528362512827,0.37373323701658245,7833
18,train,60,rf_global,342.5781373112589,180.1305010257589,42.49654916505809,0.2212273703622658,7323
19,train,60,rf_global,242.38835140006506,135.7981906959759,45.7638346970468,0.11687050809558408,7830
20,train,60,rf_global,280.9096534161819,160.31007102612534,47.17190265042569,0.1905937442442759,7600
21,train,60,rf_global,432.8563480616763,311.3562516956997,50.560813779053994,0.5883123448792655,7574
2,validacion_externa,60,rf_global,807.9524503660255,458.45270742178155,163.43799571493204,0.1262028144548033,7836
13,validacion_externa,60,rf_global,656.6849469155412,364.63929543240516,53.231654606803914,0.3707392757034572,6136
1,train,1440,rf_global,611.7836096143993,277.0417128890847,68.0789363816445,0.09968542170932171,9164
3,train,1440,rf_global,634.9396304739684,367.38077061211504,63.578230846974236,0.18626711460249212,8458
4,train,1440,rf_global,280.5361724105603,172.16688752968824,66.38088060856248,0.05672300129358587,8949
5,train,1440,rf_global,495.4927985592364,320.12922099605476,46.7068792556803,0.21399677341258394,9209
6,train,1440,rf_global,275.12210962579104,177.55974205298816,42.360044043914804,0.08466443065294782,8042
7,train,1440,rf_global,628.028986508028,364.1617524355906,91.60201094312582,0.21364131504387796,9103
8,train,1440,rf_global,689.0820914653389,414.404445720291,85.72291002401428,0.44374485849488676,8745
9,train,1440,rf_global,688.1966121750592,366.6377114863123,92.13680394193851,0.1922362603442167,8098
10,train,1440,rf_global,676.3533650444059,382.6406532151325,70.7351188860972,0.10420746326925723,8739
11,train,1440,rf_global,445.681121547238,287.5963575819537,76.10984176629265,0.519972913582936,5586
12,train,1440,rf_global,448.3089468971624,229.15508890379755,66.3724342628146,0.09826823134874474,7722
15,train,1440,rf_global,232.3722396229044,120.07305085069711,55.37575715082153,-0.10306755882846197,7903
16,train,1440,rf_global,364.1067068857583,206.07753963732037,54.6769532626858,0.16801380104630226,7108
17,train,1440,rf_global,711.2086077739464,328.1681594402764,84.00667013075123,0.22655853187304165,7731
18,train,1440,rf_global,337.616234764983,176.9954301730616,43.27696893156915,0.21777441848878198,7224
19,train,1440,rf_global,251.89142331364977,145.38633979736326,51.582817642999366,0.0726056411382432,7729
20,train,1440,rf_global,289.33456480460904,164.21634590222607,50.24441431011333,0.13548656952447724,7498
21,train,1440,rf_global,471.10388742931224,293.167118085604,50.33549321100884,0.5121147532105612,7431
2,validacion_externa,1440,rf_global,833.9720828281152,472.38523550967966,182.22450205572838,0.061385061156057574,7684
13,validacion_externa,1440,rf_global,786.119031464617,405.72788917728474,55.49604856864959,0.11851191587918164,5949
